Start concentration,Episode,Aeration_Time,Post_Aeration_Concentration,Input concentration,Reward,Average_predict_concentration
2.649373810843277,47,221,1.4038863033596924,31.0,-0.09474863857030869,tensor(1.4353)
2.637057707386372,48,847,1.3973600786030558,31.0,-0.09197036176919937,tensor(1.4289)
2.6308034086612615,49,847,0.20960655399514738,31.0,-0.28794991970062256,tensor(0.2411)
1.784206280912016,50,847,0.14215479914889334,38.0,-0.34136125445365906,tensor(0.1737)
1.7195650158510227,51,470,0.13700457288313958,38.0,-0.35707956552505493,tensor(0.1549)
1.714629382346342,52,470,0.539138701039792,38.0,-0.12115941196680069,tensor(0.5077)
2.1000079218298007,53,470,0.6603150248126897,38.0,-0.06879304349422455,tensor(0.6291)
2.216135232112161,54,470,0.6968294621981037,38.0,-0.0558827705681324,tensor(0.6657)
2.251128234606516,55,470,0.7078324708392317,38.0,-0.052284616976976395,tensor(0.6766)
2.2616727845542637,56,470,0.7111480415511359,38.0,-0.050302039831876755,tensor(0.6828)
2.2648502064865053,57,470,0.7121471327546588,38.0,-0.048485010862350464,tensor(0.6886)
2.2658076688898814,58,470,0.7124481920049932,38.0,-0.04676542058587074,tensor(0.6942)
2.266096184004785,59,470,0.7125389111224194,38.0,-0.04512736201286316,tensor(0.6996)
2.266183123158985,60,470,0.7125662477953748,38.0,-0.04355838894844055,tensor(0.7048)
2.2662093208039007,61,470,0.7125744852398019,38.0,-0.040241871029138565,tensor(0.7163)
2.2662172150214768,62,585,0.7125769674544737,38.0,-0.0388205349445343,tensor(0.7214)
2.266219593810537,63,585,0.5328949041716007,38.0,-0.09501255303621292,tensor(0.5641)
2.0940242831644507,64,585,0.4924036808955491,38.0,-0.11342795193195343,tensor(0.5237)
2.055220194191568,65,585,0.4832790129546543,38.0,-0.11779853701591492,tensor(0.5146)
2.0464757207482105,66,585,0.4812227756198629,38.0,-0.11887017637491226,tensor(0.5124)
2.0445051599690354,67,585,0.48075940402054795,38.0,-0.11893074214458466,tensor(0.5123)
2.044061095519692,68,329,0.48065498356507874,38.0,-0.11904259026050568,tensor(0.5121)
2.0439610259165337,69,329,0.8715751993951457,38.0,8.40142822265625,tensor(0.8401)
2.418592899420348,70,329,1.0313237688192858,38.0,9.997786521911621,tensor(0.9998)
2.5716852784518154,71,329,1.0966046225578723,38.0,9.346558570861816,tensor(1.0653)
2.634246096617961,72,329,1.1232814803238031,38.0,9.0811128616333,tensor(1.0919)
2.6598114186436446,73,329,1.1341829115935824,38.0,8.970904350280762,tensor(1.1029)
2.6702586236105166,74,329,1.1386377542430601,38.0,8.919538497924805,tensor(1.1080)
2.674527847816266,75,329,1.1404582145606537,38.0,8.871709823608398,tensor(1.1128)
2.6762724556206265,76,329,1.1412021411207356,38.0,8.825980186462402,tensor(1.1174)
2.676985385240705,77,329,1.1415061448506971,38.0,8.781902313232422,tensor(1.1218)
2.6772767221485845,78,329,1.1416303752153454,38.0,8.739018440246582,tensor(1.1261)
2.6773957762480394,79,329,1.14168114164345,38.0,8.697365760803223,tensor(1.1303)
2.6774444274083065,80,329,1.1417018872174474,38.0,8.656806945800781,tensor(1.1343)
2.677464308583387,81,329,1.1417103648444251,38.0,8.558492660522461,tensor(1.1442)
2.6774724329759074,82,329,1.1417138292055071,38.0,8.520994186401367,tensor(1.1479)
2.6774757529886113,83,329,1.141715244908007,38.0,8.484482765197754,tensor(1.1516)
2.6774771097035064,84,329,1.141715823431296,38.0,8.448991775512695,tensor(1.1551)
2.6774776641216587,85,329,1.1417160598433926,38.0,8.414481163024902,tensor(1.1586)
2.6774778906832513,86,329,1.1417161564526053,38.0,8.38075065612793,tensor(1.1619)
2.67747798326708,87,329,1.1417161959317186,38.0,8.348041534423828,tensor(1.1652)
2.6774780211012303,88,329,1.1417162120647597,38.0,8.316160202026367,tensor(1.1684)
2.6774780365620616,89,329,1.1417162186574867,38.0,8.285233497619629,tensor(1.1715)
2.6774780428800913,90,329,1.141716221351588,38.0,8.270816802978516,tensor(1.1729)
2.6774780454619385,91,329,1.1417162224525257,38.0,8.488389015197754,tensor(1.1512)
2.677478046517004,92,329,1.1417162229024211,38.0,8.455568313598633,tensor(1.1544)
2.6774780469481536,93,329,1.1417162230862699,38.0,8.42356014251709,tensor(1.1576)
2.677478047124342,94,329,1.141716223161399,38.0,8.39240550994873,tensor(1.1608)
2.677478047196341,95,329,1.1417162231921005,38.0,8.362180709838867,tensor(1.1638)
2.6774780472257627,96,329,1.1417162232046465,38.0,8.332658767700195,tensor(1.1667)
2.677478047237786,97,329,1.1417162232097733,38.0,8.304024696350098,tensor(1.1696)
2.6774780472426993,98,329,1.1417162232118685,38.0,8.276106834411621,tensor(1.1724)
2.6774780472447075,99,329,1.141716223212725,38.0,8.269987106323242,tensor(1.1730)
2.760811380578861,100,329,1.177250788547408,40.0,8.212220191955566,tensor(1.1788)
2.794865339024599,101,329,1.191771899882801,40.0,8.180644989013672,tensor(1.1819)
2.8087814040543506,102,329,1.1977059157467593,40.0,8.143317222595215,tensor(1.1857)
2.814468169257311,103,329,1.2001308365025067,40.0,8.108967781066895,tensor(1.1891)
2.8167920516482354,104,329,1.201121774310302,40.0,8.076416969299316,tensor(1.1924)
2.817741700380706,105,329,1.2015267185694458,40.0,8.044941902160645,tensor(1.1955)
2.8181297719623855,106,329,1.2016921980291289,40.0,8.014440536499023,tensor(1.1986)
2.8182883564445818,107,329,1.2017598207968523,40.0,-0.020297830924391747,tensor(1.2015)
2.818353161596983,108,329,1.2017874546719163,40.0,-0.020877141505479813,tensor(1.2043)
2.8183796440605864,109,329,1.2017987471859137,40.0,-0.02144721709191799,tensor(1.2071)
2.818390466053167,110,329,1.2018033618435426,40.0,-0.02201288379728794,tensor(1.2098)
2.818394888433395,111,329,1.2018052476118524,40.0,-0.021245377138257027,tensor(1.2061)
2.8183966956280253,112,329,1.2018060182263604,40.0,-0.021797362715005875,tensor(1.2088)
2.8183974341335953,113,329,1.2018063331360536,40.0,-0.022341083735227585,tensor(1.2114)
2.8183977359220513,114,329,1.2018064618231128,40.0,-0.02287864498794079,tensor(1.2139)
2.81839785924715,115,329,1.201806514410758,40.0,-0.023407787084579468,tensor(1.2164)
2.818397909643643,116,329,1.2018065359005679,40.0,-0.023927398025989532,tensor(1.2188)
2.818397930238044,117,329,1.2018065446823247,40.0,-0.0244386438280344,tensor(1.2211)
2.818397938653894,118,329,1.2018065482709677,40.0,-0.024941764771938324,tensor(1.2233)
2.8183979420930108,119,329,1.201806549737458,40.0,-0.02543599344789982,tensor(1.2255)
2.818397943498397,120,329,1.2018065503367352,40.0,-0.025920044630765915,tensor(1.2277)
2.8183979440727045,121,329,1.2018065505816287,40.0,-0.02188056707382202,tensor(1.2092)
2.818397944307394,122,329,1.2018065506817037,40.0,-0.022374343127012253,tensor(1.2115)
2.8183979444032996,123,329,1.2018065507225992,40.0,-0.02285970374941826,tensor(1.2138)
2.818397944442491,124,329,1.201806550739311,40.0,-0.02333587408065796,tensor(1.2160)
2.818397944458506,125,329,1.2018065507461402,40.0,-0.023803643882274628,tensor(1.2182)
2.818397944465051,126,329,1.201806550748931,40.0,-0.024263300001621246,tensor(1.2203)
2.8183979444677254,127,329,1.2018065507500713,40.0,-0.02471434883773327,tensor(1.2223)
2.818397944468818,128,329,1.201806550750537,40.0,-0.02515580505132675,tensor(1.2243)
2.8183979444692646,129,329,1.2018065507507276,40.0,-0.025590145960450172,tensor(1.2262)
2.818397944469447,130,329,1.2018065507508056,40.0,-0.026014544069767,tensor(1.2281)
2.818397944469522,131,329,1.2018065507508375,40.0,-0.021825596690177917,tensor(1.2089)
2.8183979444695524,132,329,1.2018065507508504,40.0,-0.0222721379250288,tensor(1.2111)
2.818397944469565,133,329,1.2018065507508557,40.0,-0.022711772471666336,tensor(1.2131)
2.81839794446957,134,329,1.201806550750858,40.0,-0.02314421720802784,tensor(1.2151)
2.818397944469572,135,329,1.2018065507508586,40.0,-0.023567665368318558,tensor(1.2171)
2.818397944469573,136,329,1.201806550750859,40.0,-0.023983614519238472,tensor(1.2190)
2.8183979444695733,137,329,1.2018065507508593,40.0,-0.02439279854297638,tensor(1.2209)
2.8183979444695737,138,329,1.2018065507508595,40.0,-0.024791765958070755,tensor(1.2227)
2.8183979444695737,139,329,1.2018065507508595,40.0,-0.025183063000440598,tensor(1.2244)
2.8183979444695737,140,329,1.2018065507508595,40.0,-0.025567643344402313,tensor(1.2261)
2.8183979444695737,141,329,1.2018065507508595,40.0,-0.021709036082029343,tensor(1.2084)
2.8183979444695737,142,329,1.2018065507508595,40.0,-0.022117342799901962,tensor(1.2103)
2.8183979444695737,143,329,1.2018065507508595,40.0,-0.022522898390889168,tensor(1.2122)
2.8183979444695737,144,329,1.2018065507508595,40.0,-0.02292109653353691,tensor(1.2141)
2.8183979444695737,145,329,1.2018065507508595,40.0,-0.02331257425248623,tensor(1.2159)
2.8183979444695737,146,329,1.2018065507508595,40.0,-0.023696091026067734,tensor(1.2177)
2.8183979444695737,147,329,1.2018065507508595,40.0,-0.024070454761385918,tensor(1.2194)
2.8183979444695737,148,329,1.2018065507508595,40.0,-0.024438027292490005,tensor(1.2211)
2.8183979444695737,149,329,1.2018065507508595,40.0,-0.02479730360209942,tensor(1.2227)
2.8183979444695737,150,329,1.2018065507508595,40.0,-0.025148512795567513,tensor(1.2243)
2.8183979444695737,151,329,1.2018065507508595,40.0,-0.02159670740365982,tensor(1.2078)
2.8183979444695737,152,329,1.2018065507508595,40.0,-0.021969975903630257,tensor(1.2096)
2.8183979444695737,153,329,1.2018065507508595,40.0,-0.022336505353450775,tensor(1.2114)
2.8183979444695737,154,329,1.2018065507508595,40.0,-0.022695163264870644,tensor(1.2130)
2.8183979444695737,155,329,1.2018065507508595,40.0,-0.02304721251130104,tensor(1.2147)
2.8183979444695737,156,329,1.2018065507508595,40.0,-0.02339201234281063,tensor(1.2163)
2.8183979444695737,157,329,1.2018065507508595,40.0,-0.02372974157333374,tensor(1.2179)
2.8183979444695737,158,329,1.2018065507508595,40.0,-0.024059277027845383,tensor(1.2194)
2.8183979444695737,159,329,1.2018065507508595,40.0,-0.02438393048942089,tensor(1.2208)
2.8183979444695737,160,329,1.2018065507508595,40.0,-0.024705030024051666,tensor(1.2223)
2.8183979444695737,161,329,1.2018065507508595,40.0,-0.021488867700099945,tensor(1.2073)
2.8183979444695737,162,329,1.2018065507508595,40.0,-0.021832700818777084,tensor(1.2090)
2.8183979444695737,163,329,1.2018065507508595,40.0,-0.022168606519699097,tensor(1.2106)
2.8183979444695737,164,329,1.2018065507508595,40.0,-0.02249780111014843,tensor(1.2121)
2.8183979444695737,165,329,1.2018065507508595,40.0,-0.02281896024942398,tensor(1.2136)
2.8183979444695737,166,329,1.2018065507508595,40.0,-0.0231331679970026,tensor(1.2151)
2.8183979444695737,167,329,1.2018065507508595,40.0,-0.023439379408955574,tensor(1.2165)
2.8183979444695737,168,329,1.2018065507508595,40.0,-0.023739375174045563,tensor(1.2179)
2.8183979444695737,169,329,1.2018065507508595,40.0,-0.024033308029174805,tensor(1.2192)
2.8183979444695737,170,329,1.2018065507508595,40.0,-0.024319613352417946,tensor(1.2205)
2.8183979444695737,171,329,1.2018065507508595,40.0,-0.021381571888923645,tensor(1.2068)
2.8183979444695737,172,329,1.2018065507508595,40.0,-0.02168906107544899,tensor(1.2083)
2.8183979444695737,173,329,1.2018065507508595,40.0,-0.021990861743688583,tensor(1.2097)
2.8183979444695737,174,329,1.2018065507508595,40.0,-0.022286469116806984,tensor(1.2111)
2.8183979444695737,175,329,1.2018065507508595,40.0,-0.022575413808226585,tensor(1.2125)
2.8183979444695737,176,329,1.2018065507508595,40.0,-0.02285812422633171,tensor(1.2138)
2.8183979444695737,177,329,1.2018065507508595,40.0,-0.023134823888540268,tensor(1.2151)
2.8183979444695737,178,329,1.2018065507508595,40.0,-0.023404419422149658,tensor(1.2164)
2.8183979444695737,179,329,1.2018065507508595,40.0,-0.023656301200389862,tensor(1.2175)
2.8183979444695737,180,329,1.2018065507508595,40.0,-0.023896070197224617,tensor(1.2186)
2.8183979444695737,181,329,1.2018065507508595,40.0,-0.021326331421732903,tensor(1.2065)
2.8183979444695737,182,329,1.2018065507508595,40.0,-0.021585294976830482,tensor(1.2078)
2.8183979444695737,183,329,1.2018065507508595,40.0,-0.021838445216417313,tensor(1.2090)
2.8183979444695737,184,329,1.2018065507508595,40.0,-0.022087544202804565,tensor(1.2102)
2.8183979444695737,185,329,1.2018065507508595,40.0,-0.022330550476908684,tensor(1.2113)
2.8183979444695737,186,329,1.2018065507508595,40.0,-0.02256786823272705,tensor(1.2125)
2.8183979444695737,187,329,1.2018065507508595,40.0,-0.02280382625758648,tensor(1.2136)
2.8183979444695737,188,329,1.2018065507508595,40.0,-0.02303905040025711,tensor(1.2147)
2.8183979444695737,189,329,1.2018065507508595,40.0,-0.023272035643458366,tensor(1.2157)
2.8183979444695737,190,329,1.2018065507508595,40.0,-0.02350126951932907,tensor(1.2168)
2.8183979444695737,191,329,1.2018065507508595,40.0,-0.021219071000814438,tensor(1.2060)
2.8183979444695737,192,329,1.2018065507508595,40.0,-0.021459709852933884,tensor(1.2072)
2.8183979444695737,193,329,1.2018065507508595,40.0,-0.02169736847281456,tensor(1.2083)
2.8183979444695737,194,329,1.2018065507508595,40.0,-0.0219293050467968,tensor(1.2094)
2.8183979444695737,195,329,1.2018065507508595,40.0,-0.022157728672027588,tensor(1.2105)
2.8183979444695737,196,329,1.2018065507508595,40.0,-0.02238621935248375,tensor(1.2116)
2.8183979444695737,197,329,1.2018065507508595,40.0,-0.02260984107851982,tensor(1.2126)
2.8183979444695737,198,329,1.2018065507508595,40.0,-0.02282741665840149,tensor(1.2137)
2.8183979444695737,199,329,1.2018065507508595,40.0,-0.023040499538183212,tensor(1.2147)
2.651731277802907,200,329,1.1307374200821927,36.0,8.380208969116211,tensor(1.1620)
2.5836233609121013,201,329,1.1016951974116924,36.0,8.668319702148438,tensor(1.1332)
2.555791230852872,202,329,1.0898271656838923,36.0,8.785849571228027,tensor(1.1214)
2.544417700447063,203,329,1.0849773241724454,36.0,8.836228370666504,tensor(1.1164)
2.5397699356652605,204,329,1.0829954485568745,36.0,8.85706901550293,tensor(1.1143)
2.5378706382003378,205,329,1.082185560038595,36.0,8.8666410446167,tensor(1.1133)
2.537094495036987,206,329,1.0818546011192323,36.0,8.865487098693848,tensor(1.1135)
2.5367773260725976,207,329,1.081719355583787,36.0,8.870109558105469,tensor(1.1130)
2.5366477157677956,208,329,1.081664087833659,36.0,8.869266510009766,tensor(1.1131)
2.5365947508405897,209,329,1.0816415028056643,36.0,8.86855697631836,tensor(1.1131)
2.5365731068554283,210,329,1.0816322734904065,36.0,8.867959976196289,tensor(1.1132)
2.5365642620949727,211,329,1.0816285019537872,36.0,9.111063003540039,tensor(1.0889)
2.5365606477057128,212,329,1.0816269607247717,36.0,9.100676536560059,tensor(1.0899)
